doctor_id,doctor_name,specialty,state,region
DR0001,Dr. Helen Collins,Primary Care / Internal Medicine,Pennsylvania,Northeast
DR0002,Dr. Brian Cox,Primary Care / Internal Medicine,Illinois,Midwest
DR0003,Dr. Larry Jackson,Primary Care / Internal Medicine,Arizona,West
DR0004,Dr. Laura Mendoza,Primary Care / Internal Medicine,New York,Northeast
DR0005,Dr. Brandon Cook,Primary Care / Internal Medicine,North Carolina,South
DR0006,Dr. Jason Lopez,Primary Care / Internal Medicine,Georgia,South
DR0007,Dr. Anthony Rivera,Primary Care / Internal Medicine,Pennsylvania,Northeast
DR0008,Dr. Thomas Wood,Primary Care / Internal Medicine,Florida,South
DR0009,Dr. Shirley Torres,Primary Care / Internal Medicine,Illinois,Midwest
DR0010,Dr. Cynthia Flores,Primary Care / Internal Medicine,Pennsylvania,Northeast
DR0011,Dr. Daniel Rodriguez,Primary Care / Internal Medicine,Florida,South
DR0012,Dr. Rachel Garcia,Primary Care / Internal Medicine,Illinois,Midwest
DR0013,Dr. Gregory Harris,Primary Care / Internal Medicine,Pennsylvania,Northeast
DR0014,Dr. Joseph Morgan,Primary Care / Internal Medicine,Georgia,South
DR0015,Dr. Michelle Miller,Primary Care / Internal Medicine,Florida,South
DR0016,Dr. Anthony Watson,Endocrinology,California,West
DR0017,Dr. Frank Morgan,Endocrinology,Illinois,Midwest
DR0018,Dr. Kenneth Nelson,Endocrinology,Ohio,Midwest
DR0019,Dr. Linda Roberts,Endocrinology,Georgia,South
DR0020,Dr. Scott Morris,Endocrinology,North Carolina,South
DR0021,Dr. Nicole Allen,Endocrinology,North Carolina,South
DR0022,Dr. Edward Robinson,Endocrinology,Florida,South
DR0023,Dr. Carol Miller,Endocrinology,Pennsylvania,Northeast
DR0024,Dr. Samantha Moore,Endocrinology,Illinois,Midwest
DR0025,Dr. Elizabeth Morris,Endocrinology,Texas,South
DR0026,Dr. Donna Lee,Endocrinology,Pennsylvania,Northeast
DR0027,Dr. Jonathan James,Endocrinology,California,West
DR0028,Dr. Joseph Howard,Cardiology,Ohio,Midwest
DR0029,Dr. Pamela Rodriguez,Cardiology,New York,Northeast
DR0030,Dr. Helen Howard,Cardiology,New York,Northeast
DR0031,Dr. Benjamin Ramos,Cardiology,New York,Northeast
DR0032,Dr. Patrick Sanchez,Cardiology,Texas,South
DR0033,Dr. Brenda Edwards,Cardiology,New York,Northeast
DR0034,Dr. Gregory Moore,Cardiology,Georgia,South
DR0035,Dr. James Bailey,Cardiology,Texas,South
DR0036,Dr. Frank Reyes,Cardiology,Florida,South
DR0037,Dr. Pamela Harris,Cardiology,North Carolina,South
